"","x"
"549","nightrage"
"550","born of osiris"
"551","dark tranquillity"
"552","blood stain child"
"553","soilwork"
"554","life in your way"
"555","through the eyes of the dead"
"556","at the throne of judgment"
"557","i killed the prom queen"
"558","stigmata"
"559","the eyes of a traitor"
"560","fear my thoughts"
"561","catherine"
"562","as blood runs black"
"563","embrace the end"
"564","deadlock"
"565","he is legend"
"566","job for a cowboy"
"567","bring me the horizon"
"568","carnifex"
"569","light this city"
"570","destroy the runner"
"571","twelve tribes"
"572","blue october"
"573","mika"
"574","ashley parker angel"
"575","black eyed peas"
"576","sick puppies"
"577","marilyn manson"
"578","chayanne"
"579","the calling"
"580","robbie williams"
"581","finger eleven"
"582","vanilla sky"
"583","u2"
"584","nelly furtado"
"585","bowling for soup"
"586","keane"
"587","good charlotte"
"588","scissor sisters"
"589","the dandy warhols"
"590","steriogram"
"591","hoobastank"
"592","sum 41"
"593","kaiser chiefs"
"594","the kooks"
"595","peter bjorn and john"
"596","avril lavigne"
"597","madonna"
"598","leona lewis"
"599","texas"
"600","anastacia"
"601","blondie"
"602","los piratas"
"603","ashlee simpson"
"604","pendulum"
"605","dream theater"
"606","lacuna coil"
"607","moby"
"608","sonata arctica"
"609","nightwish"
"610","afi"
"611","the prodigy"
"612","symphony x"
"613","kamelot"
"614","ayreon"
"615","fleetwood mac"
"616","angels & airwaves"
"617","leftfield"
"618","enya"
"619","ils"
"620","blink-182"
"621","foo fighters"
"622","london elektricity"
"623","liquid tension experiment"
"624","rhapsody of fire"
"625","porcupine tree"
"626","within temptation"
"627","angra"
"628","billy talent"
"629","dire straits"
"630","supertramp"
"631","van halen"
"632","genesis"
"633","lemon jelly"
"634","ambeon"
"635","devin townsend"
"636","stereophonics"
"637","the stone roses"
"638","little brother"
"639","2pac"
"640","swv"
"641","mariah carey"
"642","zero 7"
"643","nicolay"
"644","mobb deep"
"645","doves"
"646","late night alumni"
"647","the human league"
"648","植松伸夫"
"649","panacea"
"650","janet jackson"
"651","stevie wonder"
"652","the isley brothers"
"653","aaliyah"
"654","hundred reasons"
"655","deepest blue"
"656","paul van dyk"
"657","erykah badu"
"658","thursday"
"659","pain"
"660","sentenced"
"661","edguy"
"662","scar symmetry"
"663","charon"
"664","mercenary"
"665","norther"
"666","omnium gatherum"
"667","avantasia"
"668","archeon"
"669","blinded colony"
"670","dark age"
"671","my dying bride"
"672","amorphis"
"673","hypocrisy"
"674","gojira"
"675","machinae supremacy"
"676","eternal tears of sorrow"
"677","mors principium est"
"678","evergrey"
"679","detonation"
"680","dethklok"
"681","mötley crüe"
"682","stratovarius"
"683","warmen"
"684","diablo"
"685","raunchy"
"686","dimension zero"
"687","hammerfall"
"688","skyfire"
"689","nuclear blast allstars"
"690","kalmah"
"691","suidakra"
"692","helloween"
"693","kill the romance"
"694","venom"
"695","meshuggah"
"696","iced earth"
"697","graveworm"
"698","dagoba"
"699","rotting christ"
"700","novembers doom"
"701","slipknot"
"702","thundertale"
"703","lamb of god"
"704","arch enemy"
"705","paradise lost"
"706","drowning pool"
"707","serj tankian"
"708","koЯn"
"709","guano apes"
"710","soulfly"
"711","at the gates"
"712","the haunted"
"713","godsmack"
"714","coal chamber"
"715","andrius mamontovas"
"716","darkest hour"
"717","deftones"
"718","stone sour"
"719","luis fonsi"
"720","reincidentes"
"721","melendi"
"722","porretas"
"723","estopa"
"724","ska-p"
"725","accept"
"726","aventura"
"727","after forever"
"728","gamma ray"
"729","blind guardian"
"730","extremoduro"
"731","epica"
"732","david bisbal"
"733","fito & fitipaldis"
"734","dover"
"735","judas priest"
"736","christina aguilera"
"737","u.d.o."
"738","platero y tú"
"739","xandria"
"740","joaquín sabina"
"741","soraya arnelas"
"742","guns n' roses"
"743","marea"
"744","siniestro total"
"745","jamie lidell"
"746","scott walker"
"747","morrissey"
"748","primal scream"
"749","miss kittin"
"750","fischerspooner"
"751","ellen allien"
"752","vhs or beta"
"753","new order"
"754","pulp"
"755","クレイジーケンバンド"
"756","spiritualized"
"757","autolux"
"758","annie"
"759","the rolling stones"
"760","adult."
"761","anthony rother"
"762","the bees"
"763","the guess who"
"764","the gossip"
"765","glasvegas"
"766","empire of the sun"
"767","clipse"
"768","crowded house"
"769","marvin gaye"
"770","talking heads"
"771","the sea and cake"
"772","halcali"
"773","moloko"
"774","roxy music"
"775","saul williams"
"776","billy bragg & wilco"
"777","pet shop boys"
"778","tegan and sara"
"779","the spill canvas"
"780","blaqk audio"
"781","brand new"
"782","teddy geiger"
"783","mest"
"784","the rocket summer"
"785","simple plan"
"786","something corporate"
"787","the dresden dolls"
"788","jack's mannequin"
"789","kt tunstall"
"790","kelly clarkson"
"791","the wreckers"
"792","jamisonparker"
"793","paramore"
"794","damien rice"
"795","stars"
"796","rufus wainwright"
"797","the academy is..."
"798","the starting line"
"799","the red jumpsuit apparatus"
"800","kevin devine"
"801","kimya dawson"
"802","taking back sunday"
"803","the ataris"
"804","meg & dia"
"805","dashboard confessional"
"806","the honorary title"
"807","alkaline trio"
"808","the forecast"
"809","bayside"
"810","mayday parade"
"811","dane cook"
"812","new found glory"
"813","the used"
"814","bright eyes"
"815","candlemass"
"816","current 93"
"817","death in june"
"818","tenhi"
"819","nature and organisation"
"820","agalloch"
"821","mayhem"
"822","darkthrone"
"823","sarah blasko"
"824","eluvium"
"825","carpathian forest"
"826","manowar"
"827","marduk"
"828","taake"
"829","nest"
"830","burzum"
"831","kroda"
"832","jesu"
"833","abruptum"
"834","behemoth"
"835","cannibal corpse"
"836","sunn o)))"
"837","dream evil"
"838","belphegor"
"839","xasthur"
"840","boris"
"841","absurd"
"842","bathory"
"843","sodom"
"844","green carnation"
"845","october falls"
"846","earth"
"847","nortt"
"848","nokturnal mortum"
"849","klaus nomi"
"850","the mountain goats"
"851","girlyman"
"852","sufjan stevens"
"853","guided by voices"
"854","poe"
"855","cocorosie"
"856","cat stevens"
"857","paul simon"
"858","joni mitchell"
"859","tom waits"
"860","pansy division"
"861","rasputina"
"862","the cranberries"
"863","nick drake"
"864","cyndi lauper"
"865","xiu xiu"
"866","crosby, stills, nash & young"
"867","the police"
"868","the band"
"869","joanna newsom"
"870","the bevis frond"
"871","johnny rivers"
"872","amy winehouse"
"873","r.e.m."
"874","the dream syndicate"
"875","skank"
"876","the b-52's"
"877","patti smith"
"878","tom petty and the heartbreakers"
"879","smash mouth"
"880","sister hazel"
"881","pj harvey"
"882","counting crows"
"883","van morrison"
"884","edwyn collins"
"885","los hermanos"
"886","cachorro grande"
"887","deep purple"
"888","natalie merchant"
"889","macy gray"
"890","damien jurado"
"891","songs: ohia"
"892","magnolia electric co."
"893","phosphorescent"
"894","the avett brothers"
"895","jolie holland"
"896","samamidon"
"897","deer tick"
"898","wilco"
"899","uncle tupelo"
"900","castanets"
"901","josh rouse"
"902","horse feathers"
"903","okkervil river"
"904","bowerbirds"
"905","langhorne slim"
"906","gillian welch"
"907","pavement"
"908","jason molina"
"909","the tallest man on earth"
"910","silver jews"
"911","old crow medicine show"
"912","andrew bird"
"913","richard buckner"
"914","whiskeytown"
"915","micah p. hinson"
"916","breathe owl breathe"
"917","dr. dog"
"918","palace brothers"
"919","townes van zandt"
"920","the zombies"
"921","black mountain"
"922","blind willie mctell"
"923","m. ward"
"924","neko case"
"925","devendra banhart"
"926","wolf parade"
"927","palace music"
"928","tori amos"
"929","they might be giants"
"930","spirit caravan"
"931","spiritual beggars"
"932","flogging molly"
"933","stabbing westward"
"934","blues traveler"
"935","evanescence"
"936","limp bizkit"
"937","bloodhound gang"
"938","gorillaz"
"939","clutch"
"940","cat power"
"941","john cale"
"942","against me!"
"943","lush"
"944","the distillers"
"945","murder by death"
"946","ani difranco"
"947","yeah yeah yeahs"
"948","type o negative"
"949","white zombie"
"950","faith no more"
"951","otep"
"952","sister machine gun"
"953","the atomic bitchwax"
"954","descendents"
"955","the hush sound"
"956","horrorpops"
"957","over the rhine"
"958","l7"
"959","the faint"
"960","hole"
"961","dropkick murphys"
"962","queens of the stone age"
"963","jack off jill"
"964","the doors"
"965","bardo pond"
"966","elliott smith"
"967","me first and the gimme gimmes"
"968","hocico"
"969","deathstars"
"970","dope stars inc."
"971","sabaton"
"972","kiss"
"973","ruoska"
"974","mortal love"
"975","the birthday massacre"
"976","sirenia"
"977","amduscia"
"978","waltari"
"979","ashbury heights"
"980","eläkeläiset"
"981","nashville pussy"
"982","theatre of tragedy"
"983","alice in videoland"
"984","crematory"
"985","s.s.h."
"986","turmion kätilöt"
"987","lunatica"
"988","velcra"
"989","moonspell"
"990","power quest"
"991","bad boys blue"
"992","mind.in.a.box"
"993","celesty"
"994","billy idol"
"995","hilary duff"
"996","code 64"
"997","cradle of filth"
"998","entwine"
"999","gothminister"
"1000","poets of the fall"
"1001","hardcore superstar"
"1002","basic element"
"1003","sonic syndicate"
"1004","apoptygma berzerk"
"1005","kotiteollisuus"
"1006","martti servo ja napander"
"1007","blutengel"
"1008","celldweller"
"1009","syrian"
"1010","fastway"
"1011","grendel"
"1012","panic! at the disco"
"1013","viikate"
"1014","the lovecrave"
"1015","equilibrium"
"1016","michael bublé"
"1017","ingrid michaelson"
"1018","sara bareilles"
"1019","josh groban"
"1020","gregory and the hawk"
"1021","beyoncé"
"1022","jason mraz"
"1023","alicia keys"
"1024","corinne bailey rae"
"1025","colbie caillat"
"1026","lisa loeb"
"1027","regina spektor"
"1028","rilo kiley"
"1029","fleet foxes"
"1030","jim brickman"
"1031","eisley"
"1032","jack johnson"
"1033","ella fitzgerald"
"1034","meiko"
"1035","forgive durden"
"1036","adele"
"1037","eric hutchinson"
"1038","feist"
"1039","amos lee"
"1040","ben folds five"
"1041","october fall"
"1042","rachael yamagata"
"1043","rooney"
"1044","marc broussard"
"1045","carrie underwood"
"1046","a fine frenzy"
"1047","jonathan larson"
"1048","butterfly boucher"
"1049","guster"
"1050","mando diao"
"1051","die Ärzte"
"1052","tomte"
"1053","johnossi"
"1054","schrottgrenze"
"1055","the whitest boy alive"
"1056","rajaton"
"1057","friska viljor"
"1058","virginia jetzt!"
"1059","canadian brass"
"1060","moneybrother"
"1061","anajo"
"1062","architecture in helsinki"
"1063","olli schulz & der hund marie"
"1064","die toten hosen"
"1065","shout out louds"
"1066","farin urlaub"
"1067","funny van dannen"
"1068","the arcade fire"
"1069","kings of convenience"
"1070","bernd begemann"
"1071","bela b."
"1072","beatsteaks"
"1073","sportfreunde stiller"
"1074","enthroned"
"1075","desaster"
"1076","katharsis"
"1077","moonblood"
"1078","behexen"
"1079","lifelover"
"1080","dornenreich"
"1081","aaskereia"
"1082","lunar aurora"
"1083","satanic warmaster"
"1084","luror"
"1085","mütiilation"
"1086","kreator"
"1087","onslaught"
"1088","goatmoon"
"1089","pest"
"1090","nifelheim"
"1091","deathspell omega"
"1092","gorgoroth"
"1093","peste noire"
"1094","tsjuder"
"1095","shining"
"1096","overkill"
"1097","urgehal"
"1098","absu"
"1099","destruction"
"1100","nocte obducta"
"1101","horn"
"1102","sterbend"
"1103","aura noir"
"1104","annihilator"
"1105","nocturnal depression"
"1106","kinderzimmer productions"
"1107","dj koze"
"1108","modeselektor"
"1109","the herbaliser"
"1110","apparat"
"1111","frivolous"
"1112","pantha du prince"
"1113","madvillain"
"1114","tiefschwarz"
"1115","alex smoke"
"1116","cobblestone jazz"
"1117","international pony"
"1118","die fantastischen vier"
"1119","thomas fehlmann"
"1120","trentemøller"
"1121","helge schneider"
"1122","four tet"
"1123","salmonella dub"
"1124","matthew dear"
"1125","ellen allien & apparat"
"1126","akufen"
"1127","luke vibert"
"1128","scsi-9"
"1129","kruder & dorfmeister"
"1130","rjd2"
"1131","alias"
"1132","mf doom"
"1133","house of pain"
"1134","the roots"
"1135","b. fleischmann"
"1136","dominik eulberg"
"1137","fila brazillia"
"1138","peace orchestra"
"1139","the notwist"
"1140","phish"
"1141","explosions in the sky"
"1142","evan bartholomew"
"1143","black moth super rainbow"
"1144","shpongle"
"1145","solar fields"
"1146","younger brother"
"1147","bluetech"
"1148","flying lotus"
"1149","dave matthews band"
"1150","aes dana"
"1151","carbon based lifeforms"
"1152","god is an astronaut"
"1153","chris clark"
"1154","shulman"
"1155","the advantage"
"1156","kuba"
"1157","bill laswell"
"1158","dosh"
"1159","easily embarrassed"
"1160","entheogenic"
"1161","ott"
"1162","busta rhymes"
"1163","abakus"
"1164","animal collective"
"1165","androcell"
"1166","the orb"
"1167","hallucinogen"
"1168","proem"
"1169","gino vannelli"
"1170","molly hatchet"
"1171","basshunter"
"1172","toto"
"1173","jimmy barnes"
"1174","the monkees"
"1175","soul coughing"
"1176","level 42"
"1177","three dog night"
"1178","robin trower"
"1179","kenny loggins"
"1180","rick astley"
"1181","jars of clay"
"1182","ad hominem"
"1183","böhse onkelz"
"1184","nargaroth"
"1185","dub buk"
"1186","deichkind"
"1187","eins zwo"
"1188","krieg"
"1189","bob marley & the wailers"
"1190","abyssic hate"
"1191","graveland"
"1192","sleep terror"
"1193","bilskirnir"
"1194","citizen cope"
"1195","panzerchrist"
"1196","brujeria"
"1197","absolute beginner"
"1198","bob marley"
"1199","run-d.m.c."
"1200","soil"
"1201","chimaira"
"1202","totenburg"
"1203","richard cheese"
"1204","ultra vomit"
"1205","onyx"
"1206","gentleman"
"1207","kategorie c"
"1208","slut"
"1209","tocotronic"
"1210","weezer"
"1211","travis"
"1212","deus"
"1213","fettes brot"
"1214","herbert grönemeyer"
"1215","camera obscura"
"1216","blumentopf"
"1217","antonín dvořák"
"1218","ash"
"1219","h-blockx"
"1220","gipsy kings"
"1221","kettcar"
"1222","elvis presley"
"1223","kalle baah"
"1224","svenska akademien"
"1225","misfits"
"1226","doktor kosmos"
"1227","danzig"
"1228","broder daniel"
"1229","hoffmaestro & chraa"
"1230","raised fist"
"1231","navid modiri & gudarna"
"1232","black stone cherry"
"1233","governor andy"
"1234","kapten röd"
"1235","håkan hellström"
"1236","gang starr"
"1237","apocalyptica"
"1238","la rocca"
"1239","lars winnerbäck"
"1240","grizzly bear"
"1241","tv on the radio"
"1242","electrelane"
"1243","beach house"
"1244","the shins"
"1245","caribou"
"1246","smog"
"1247","handsome furs"
"1248","death from above 1979"
"1249","john maus"
"1250","panda bear"
"1251","fever ray"
"1252","final fantasy"
"1253","jj"
"1254","mount eerie"
"1255","telepathe"
"1256","the organ"
"1257","deerhunter"
"1258","destroyer"
"1259","department of eagles"
"1260","dirty projectors"
"1261","dead combo"
"1262","the sounds"
"1263","buraka som sistema"
"1264","randy crawford"
"1265","collective soul"
"1266","howie day"
"1267","hush"
"1268","sugarplum fairy"
"1269","kenny chesney"
"1270","the ark"
"1271","amy macdonald"
"1272","blackmail"
"1273","goo goo dolls"
"1274","silje nergaard"
"1275","imogen heap"
"1276","maria mena"
"1277","james blunt"
"1278","fury in the slaughterhouse"
"1279","daniel powter"
"1280","michael bolton"
"1281","mesh"
"1282","turin brakes"
"1283","nickelback"
"1284","gabriella cilmi"
"1285","sunrise avenue"
"1286","robyn"
"1287","erasure"
"1288","recoil"
"1289","dave gahan"
"1290","the darkness"
"1291","martin l. gore"
"1292","atb"
"1293","tears for fears"
"1294","audioslave"
"1295","camouflage"
"1296","him"
"1297","a-ha"
"1298","prāta vētra"
"1299","3 doors down"
"1300","simply red"
"1301","ultravox"
"1302","the veronicas"
"1303","anberlin"
"1304","automatic loveletter"
"1305","jason reeves"
"1306","needtobreathe"
"1307","flyleaf"
"1308","aly & aj"
"1309","alexz johnson"
"1310","all time low"
"1311","lindsay lohan"
"1312","cute is what we aim for"
"1313","david guetta"
"1314","circa survive"
"1315","the white tie affair"
"1316","the pussycat dolls"
"1317","the mint chicks"
"1318","over it"
"1319","a*teens"
"1320","katy perry"
"1321","mcfly"
"1322","vanessa carlton"
"1323","plaid"
"1324","gridlock"
"1325","nofx"
"1326","the future sound of london"
"1327","flowklorikos"
"1328","morcheeba"
"1329","the mars volta"
"1330","daedelus"
"1331","p.o.d."
"1332","morodo"
"1333","agoria"
"1334","gescom"
"1335","the robot ate me"
"1336","deaf center"
"1337","mike oldfield"
"1338","the coral"
"1339","najwajean"
"1340","Мультfильмы"
"1341","Мумий Тролль"
"1342","Ночные Снайперы"
"1343","shakira"
"1344","zемфира"
"1345","noize mc"
"1346","kate bush"
"1347","centr"
"1348","bebe"
"1349","Каста"
"1350","Фруктовый Кефир"
"1351","violent femmes"
"1352","Сплин"
"1353","the dø"
"1354","Психея"
"1355","guf"
"1356","jane air"
"1357","the pierces"
"1358","the ting tings"
"1359","ace of base"
"1360","ray charles"
"1361","5nizza"
"1362","Бумбокс"
"1363","kilians"
"1364","lifehouse"
"1365","dario marianelli"
"1366","matchbox twenty"
"1367","incubus"
"1368","empty trash"
"1369","we are scientists"
"1370","fotos"
"1371","the wombats"
"1372","the cardigans"
"1373","36 crazyfists"
"1374","walls of jericho"
"1375","horse the band"
"1376","all that remains"
"1377","dew-scented"
"1378","chevelle"
"1379","the vision bleak"
"1380","trivium"
"1381","purified in blood"
"1382","the agony scene"
"1383","tracktor bowling"
"1384","october tide"
"1385","inhale exhale"
"1386","pantheist"
"1387","bridge to solace"
"1388","saliva"
